Reference,Subfamily,Species,Lat,Long,Habitat,Location,N_Temps,T_C,T_K,Birth_Rate,Source,Fecundity,Source,Development,Source,Juv_Mortality,Source,Survivorship,Stages,Source,Juv_Duration,Stages,Source,Gen_Time,Stages,Source,Adult_Mortality,Source,Adult_Duration,Sex,Source,R0,Source,r,Source,Notes,
Dreyer & Baumgartner 1996,Heteroptera,Clavigralla tomentosicollis Benin,6.45,2.35,Tropical,"Benin, IITA_Station_in_Abomey/Calavi",8,36,309,7.667,Calculated,80.592,Figure 4b,0.088,Calculated,0.061,Calculated,0.498,Egg_to_Adult,Table 1,11.42,Egg_to_Adult,Table 1,19.0,Egg_to_Repro,Table 4,0.095,Figure 4c,10.51,Female,Calculated,14.84,Table 4,0.1420,Calculated,,
Dreyer & Baumgartner 1996,Heteroptera,Clavigralla tomentosicollis Benin,6.45,2.35,Tropical,"Benin, IITA_Station_in_Abomey/Calavi",8,40,313,0,Fecundity is 0,0,In text,0,Figure 1,,,,,,,,,,,,,,,,,0,Fecundity is 0,0,Fecundity is 0,,
Dreyer & Baumgartner 1996,Heteroptera,Clavigralla tomentosicollis (on pigeonpea),6.45,2.35,Tropical,"Benin, IITA_Station_in_Abomey/Calavi",4,20,293,0.069,Calculated,1.5,Table 6,,,,,,,,,,,,,,0.046,Calculated,21.7,Female,Table 6,,,,,,
Dreyer & Baumgartner 1996,Heteroptera,Clavigralla tomentosicollis (on pigeonpea),6.45,2.35,Tropical,"Benin, IITA_Station_in_Abomey/Calavi",4,25,298,1.339,Calculated,16.2,Table 6,,,,,,,,,,,,,,0.083,Calculated,12.1,Female,Table 6,,,,,,
Dreyer & Baumgartner 1996,Heteroptera,Clavigralla tomentosicollis (on pigeonpea),6.45,2.35,Tropical,"Benin, IITA_Station_in_Abomey/Calavi",4,30,303,8.072,Calculated,213.1,Table 6,,,,,,,,,,,,,,0.038,Calculated,26.4,Female,Table 6,,,,,,
Dreyer & Baumgartner 1996,Heteroptera,Clavigralla tomentosicollis (on pigeonpea),6.45,2.35,Tropical,"Benin, IITA_Station_in_Abomey/Calavi",4,34,307,4.389,Calculated,107.1,Table 6,,,,,,,,,,,,,,0.041,Calculated,24.4,Female,Table 6,,,,,,
Egwuata & Taylor 1977,Heteroptera,Clavigralla tomentosicollis Nigeria,7.45,3.90,Tropical,"Nigeria, Ibadan",8,20,293,,,,,0.033,Calculated,0.028,Calculated,0.43,N1_to_Adult,Table 3,30.5,N1_to_Adult,Table 1,,,,,,,,,,,,,,
Egwuata & Taylor 1977,Heteroptera,Clavigralla tomentosicollis Nigeria,7.45,3.90,Tropical,"Nigeria, Ibadan",8,22,295,,,,,0.044,Calculated,0.013,Calculated,0.74,N1_to_Adult,Table 3,22.7,N1_to_Adult,Table 1,,,,,,,,,,,,,,
Egwuata & Taylor 1977,Heteroptera,Clavigralla tomentosicollis Nigeria,7.45,3.90,Tropical,"Nigeria, Ibadan",8,25,298,,,,,0.056,Calculated,0.001,Calculated,0.986,N1_to_Adult,Table 3,17.9,N1_to_Adult,Table 1,,,,,,,,,,,,,,
Egwuata & Taylor 1977,Heteroptera,Clavigralla tomentosicollis Nigeria,7.45,3.90,Tropical,"Nigeria, Ibadan",8,27,300,,,,,0.066,Calculated,0.038,Calculated,0.563,N1_to_Adult,Table 3,15.1,N1_to_Adult,Table 1,,,,,,,,,,,,,,
Egwuata & Taylor 1977,Heteroptera,Clavigralla tomentosicollis Nigeria,7.45,3.90,Tropical,"Nigeria, Ibadan",8,30,303,,,,,0.093,Calculated,0.029,Calculated,0.728,N1_to_Adult,Table 3,10.8,N1_to_Adult,Table 1,,,,,,,,,,,,,,
Egwuata & Taylor 1977,Heteroptera,Clavigralla tomentosicollis Nigeria,7.45,3.90,Tropical,"Nigeria, Ibadan",8,32,305,,,,,0.109,Calculated,0.037,Calculated,0.71,N1_to_Adult,Table 3,9.2,N1_to_Adult,Table 1,,,,,,,,,,,,,,
Egwuata & Taylor 1977,Heteroptera,Clavigralla tomentosicollis Nigeria,7.45,3.90,Tropical,"Nigeria, Ibadan",8,34,307,,,,,0.122,Calculated,0.024,Calculated,0.823,N1_to_Adult,Table 3,8.2,N1_to_Adult,Table 1,,,,,,,,,,,,,,
Egwuata & Taylor 1977,Heteroptera,Clavigralla tomentosicollis Nigeria,7.45,3.90,Tropical,"Nigeria, Ibadan",8,36,309,,,,,0.119,Calculated,0.059,Calculated,0.609,N1_to_Adult,Table 3,8.4,N1_to_Adult,Table 1,,,,,,,,,,,,,,
Egwuata & Taylor 1977,Heteroptera,Clavigralla tomentosicollis Nigeria,7.45,3.90,Tropical,"Nigeria, Ibadan",8,40,313,,,,,0.000,In text,,,,,,,,,,,,,,,,,,,,,,
Dabire et al. 2005,Heteroptera,Clavigralla tomentosicollis Burkina Faso,12.38,-1.50,Tropical,"Burkina Faso, Ouagadougou, Instit de l'Environnement",9,24,297,,,,,0.026,Calculated,0.038,Calculated,0.232,Egg_to_Adult,"Figure 1,2",38.9,Egg_to_Adult,"Figure 1,2",,,,,,,,,,,,,,
Dabire et al. 2005,Heteroptera,Clavigralla tomentosicollis Burkina Faso,12.38,-1.50,Tropical,"Burkina Faso, Ouagadougou, Instit de l'Environnement",9,25,298,2.528,Calculated,158.37,Table 3,0.038,Calculated,0.028,Calculated,0.481,Egg_to_Adult,"Figure 1,2",26.4,Egg_to_Adult,"Figure 1,2",89.00,Egg_to_Adult,Calculated,0.016,Calculated,62.65,Female,Table 3,91.48,Calculated,0.0507,Calculated,0.134,r using Mathematica
Dabire et al. 2005,Heteroptera,Clavigralla tomentosicollis Burkina Faso,12.38,-1.50,Tropical,"Burkina Faso, Ouagadougou, Instit de l'Environnement",9,27,300,,,,,0.045,Calculated,0.027,Calculated,0.554,Egg_to_Adult,"Figure 1,2",22.0,Egg_to_Adult,"Figure 1,2",,,,,,,,,,,,,,
Dabire et al. 2005,Heteroptera,Clavigralla tomentosicollis Burkina Faso,12.38,-1.50,Tropical,"Burkina Faso, Ouagadougou, Instit de l'Environnement",9,30,303,4.938,Calculated,218.04,Table 3,0.086,Calculated,0.011,Calculated,0.884,Egg_to_Adult,"Figure 1,2",15.8,Egg_to_Adult,"Figure 1,2",59.99,Egg_to_Adult,Calculated,0.023,Calculated,44.16,Female,Table 3,194.08,Calculated,0.0878,Calculated,0.232,r using Mathematica
Dabire et al. 2005,Heteroptera,Clavigralla tomentosicollis Burkina Faso,12.38,-1.50,Tropical,"Burkina Faso, Ouagadougou, Instit de l'Environnement",9,35,308,1.711,Calculated,56.55,Table 3,0.101,Calculated,0.043,Calculated,0.655,Egg_to_Adult,"Figure 1,2",11.6,Egg_to_Adult,"Figure 1,2",44.64,Egg_to_Adult,Calculated,0.030,Calculated,33.05,Female,Table 3,39.73,Calculated,0.0825,Calculated,0.221,r using Mathematica
Dabire et al. 2005,Heteroptera,Clavigralla tomentosicollis Burkina Faso,12.38,-1.50,Tropical,"Burkina Faso, Ouagadougou, Instit de l'Environnement",9,38,311,,,,,0.144,Calculated,0.285,Calculated,0.138,Egg_to_Adult,"Figure 1,2",9.9,Egg_to_Adult,"Figure 1,2",,,,,,,,,,,,,,
Dabire et al. 2005,Heteroptera,Clavigralla tomentosicollis Burkina Faso,12.38,-1.50,Tropical,"Burkina Faso, Ouagadougou, Instit de l'Environnement",9,40,313,1.355,Calculated,43.00,Table 3,0,Calculated,,,0.000,Egg_to_Adult,"Figure 1,2",7.0,Egg_to_Adult,"Figure 1,2",38.68,Egg_to_Adult,Calculated,0.032,Calculated,31.73,Female,Table 3,14.41,Calculated,0.0690,Calculated,0.163,r using Mathematica
Dabire et al. 2005,Heteroptera,Clavigralla tomentosicollis Burkina Faso,12.38,-1.50,Tropical,"Burkina Faso, Ouagadougou, Instit de l'Environnement",9,41,314,,,,,0,Calculated,,,0.000,Egg_to_Adult,"Figure 1,2",,,,,,,,,,,,,,,,,
Dabire et al. 2005,Heteroptera,Clavigralla tomentosicollis Burkina Faso,12.38,-1.50,Tropical,"Burkina Faso, Ouagadougou, Instit de l'Environnement",9,42,315,,,,,0,Calculated,,,0.000,Egg_to_Adult,"Figure 1,2",,,,,,,,,,,,,,,,,
Lu et al. 2010,Heteroptera,Apolygus lucorum,39.53,116.7,Temperate,"China, Langfang Experimental Station",6,10,283,0.492,Calculated,28.0,Table 3,,,,,,,,,,,,,,0.018,Calculated,56.9,Female,Table 3,,,,,,
Lu et al. 2010,Heteroptera,Apolygus lucorum,39.53,116.7,Temperate,"China, Langfang Experimental Station",6,15,288,1.189,Calculated,56.7,Table 3,0.024,Calculated,0.037,Calculated,0.216,Egg_to_Adult,Table 3,41.1,Egg_to_Adult,Table 1,55.2,Egg_to_Repro,Table 3,0.021,Calculated,47.7,Female,Table 3,22.40,Calculated,0.0563,Calculated,0.036,r using Mathematica
Lu et al. 2010,Heteroptera,Apolygus lucorum,39.53,116.7,Temperate,"China, Langfang Experimental Station",6,20,293,2.100,Calculated,84.4,Table 3,0.038,Calculated,0.043,Calculated,0.322,Egg_to_Adult,Table 3,26.5,Egg_to_Adult,Table 1,36.3,Egg_to_Repro,Table 3,0.025,Calculated,40.2,Female,Table 3,39.56,Calculated,0.1013,Calculated,0.073,r using Mathematica
Lu et al. 2010,Heteroptera,Apolygus lucorum,39.53,116.7,Temperate,"China, Langfang Experimental Station",6,25,298,2.384,Calculated,81.3,Table 3,0.050,Calculated,0.052,Calculated,0.353,Egg_to_Adult,Table 3,20,Egg_to_Adult,Table 1,28.4,Egg_to_Repro,Table 3,0.029,Calculated,34.1,Female,Table 3,39.85,Calculated,0.1298,Calculated,0.096,r using Mathematica
Lu et al. 2010,Heteroptera,Apolygus lucorum,39.53,116.7,Temperate,"China, Langfang Experimental Station",6,30,303,2.887,Calculated,73.9,Table 3,0.059,Calculated,0.039,Calculated,0.518,Egg_to_Adult,Table 3,16.9,Egg_to_Adult,Table 1,23.6,Egg_to_Repro,Table 3,0.039,Calculated,25.6,Female,Table 3,44.57,Calculated,0.1609,Calculated,0.129,r using Mathematica
Lu et al. 2010,Heteroptera,Apolygus lucorum,39.53,116.7,Temperate,"China, Langfang Experimental Station",6,35,308,1.101,Calculated,21.9,Table 3,0.057,Calculated,0.172,Calculated,0.050,Egg_to_Adult,Table 3,17.4,Egg_to_Adult,Table 1,24.3,Egg_to_Repro,Table 3,0.050,Calculated,19.9,Female,Table 3,5.47,Calculated,0.0700,Calculated,0.002,r using Mathematica
Lu et al. 2009,Heteroptera,Adelphocoris suturalis,35.53,114.42,Temperate,"China, Xinxiang cotton fields",6,10,283,0.385,Calculated,23.68,Figure 3,,,,,,,,,,,,,,0.016,Calculated,61.5,Adult,Table 3,,,,,,
Lu et al. 2009,Heteroptera,Adelphocoris suturalis,35.53,114.42,Temperate,"China, Xinxiang cotton fields",6,15,288,0.781,Calculated,44.21,Figure 3,0.016,Calculated,0.025,Calculated,0.22,Egg_to_Adult,Figure 2,61.0,Egg_to_Adult,Table 1,117.6,Egg_to_Senescence,Calculated,0.018,Calculated,56.6,Adult,Table 3,17.58,Calculated,0.0244,Calculated,0.022,r using Mathematica
Lu et al. 2009,Heteroptera,Adelphocoris suturalis,35.53,114.42,Temperate,"China, Xinxiang cotton fields",6,20,293,2.013,Calculated,70.26,Figure 3,0.030,Calculated,0.024,Calculated,0.46,Egg_to_Adult,Figure 2,32.8,Egg_to_Adult,Table 1,67.7,Egg_to_Senescence,Calculated,0.029,Calculated,34.9,Adult,Table 3,39.55,Calculated,0.0543,Calculated,0.067,r using Mathematica
Lu et al. 2009,Heteroptera,Adelphocoris suturalis,35.53,114.42,Temperate,"China, Xinxiang cotton fields",6,25,298,2.824,Calculated,69.47,Figure 3,0.040,Calculated,0.020,Calculated,0.61,Egg_to_Adult,Figure 2,24.7,Egg_to_Adult,Table 1,49.3,Egg_to_Senescence,Calculated,0.041,Calculated,24.6,Adult,Table 3,46.49,Calculated,0.0779,Calculated,0.100,r using Mathematica
Lu et al. 2009,Heteroptera,Adelphocoris suturalis,35.53,114.42,Temperate,"China, Xinxiang cotton fields",6,30,303,2.487,Calculated,49.74,Figure 3,0.050,Calculated,0.043,Calculated,0.42,Egg_to_Adult,Figure 2,20.2,Egg_to_Adult,Table 1,40.2,Egg_to_Senescence,Calculated,0.050,Calculated,20.0,Adult,Table 3,26.63,Calculated,0.0816,Calculated,0.098,r using Mathematica
Lu et al. 2009,Heteroptera,Adelphocoris suturalis,35.53,114.42,Temperate,"China, Xinxiang cotton fields",6,35,308,2.225,Calculated,33.16,Figure 3,0.045,Calculated,0.095,Calculated,0.12,Egg_to_Adult,Figure 2,22.4,Egg_to_Adult,Table 1,37.3,Egg_to_Senescence,Calculated,0.067,Calculated,14.9,Adult,Table 3,10.63,Calculated,0.0634,Calculated,0.04,r using Mathematica
Lu et al. 2009,Heteroptera,Adelphocoris fasciatiocollis,38.55,117.38,Temperate,"China, Chanzhou alfalfa fields",6,10,283,0.416,Calculated,18.10,Figure 3,,,,,,,,,,,,,,0.023,Calculated,43.5,Adult,Table 3,,,,,,
Lu et al. 2009,Heteroptera,Adelphocoris fasciatiocollis,38.55,117.38,Temperate,"China, Chanzhou alfalfa fields",6,15,288,0.966,Calculated,36.71,Figure 3,0.019,Calculated,0.029,Calculated,0.22,Egg_to_Adult,Figure 2,52.3,Egg_to_Adult,Table 1,90.3,Egg_to_Senescence,Calculated,0.026,Calculated,38.0,Adult,Table 3,14.60,Calculated,0.0297,Calculated,0.026,r using Mathematica
Lu et al. 2009,Heteroptera,Adelphocoris fasciatiocollis,38.55,117.38,Temperate,"China, Chanzhou alfalfa fields",6,20,293,1.455,Calculated,53.71,Figure 3,0.027,Calculated,0.031,Calculated,0.31,Egg_to_Adult,Figure 2,37.4,Egg_to_Adult,Table 1,74.3,Egg_to_Senescence,Calculated,0.027,Calculated,36.9,Adult,Table 3,24.74,Calculated,0.0432,Calculated,0.049,r using Mathematica
Lu et al. 2009,Heteroptera,Adelphocoris fasciatiocollis,38.55,117.38,Temperate,"China, Chanzhou alfalfa fields",6,25,298,2.166,Calculated,66.71,Figure 3,0.038,Calculated,0.030,Calculated,0.45,Egg_to_Adult,Figure 2,26.3,Egg_to_Adult,Table 1,57.1,Egg_to_Senescence,Calculated,0.032,Calculated,30.8,Adult,Table 3,37.09,Calculated,0.0633,Calculated,0.082,r using Mathematica
Lu et al. 2009,Heteroptera,Adelphocoris fasciatiocollis,38.55,117.38,Temperate,"China, Chanzhou alfalfa fields",6,30,303,1.558,Calculated,46.91,Figure 3,0.047,Calculated,0.039,Calculated,0.43,Egg_to_Adult,Figure 2,21.4,Egg_to_Adult,Table 1,51.5,Egg_to_Senescence,Calculated,0.033,Calculated,30.1,Adult,Table 3,25.44,Calculated,0.0628,Calculated,0.083,r using Mathematica
Lu et al. 2009,Heteroptera,Adelphocoris fasciatiocollis,38.55,117.38,Temperate,"China, Chanzhou alfalfa fields",6,35,308,1.557,Calculated,26.31,Figure 3,0.047,Calculated,0.112,Calculated,0.09,Egg_to_Adult,Figure 2,21.5,Egg_to_Adult,Table 1,38.4,Egg_to_Senescence,Calculated,0.059,Calculated,16.9,Adult,Table 3,7.72,Calculated,0.0532,Calculated,0.025,r using Mathematica
Lu et al. 2009,Heteroptera,Adelphocoris lineolatus,39.88,117.17,Temperate,"China, Chanzhou alfalfa fields",6,10,283,0.349,Calculated,19.74,Figure 3,,,,,,,,,,,,,,0.018,Calculated,56.6,Adult,Table 3,,,,,,
Lu et al. 2009,Heteroptera,Adelphocoris lineolatus,39.88,117.17,Temperate,"China, Chanzhou alfalfa fields",6,15,288,1.350,Calculated,67.11,Figure 3,0.014,Calculated,0.022,Calculated,0.22,Egg_to_Adult,Figure 2,70.3,Egg_to_Adult,Table 1,120.0,Egg_to_Senescence,Calculated,0.020,Calculated,49.7,Adult,Table 3,26.69,Calculated,0.0274,Calculated,0.025,r using Mathematica
Lu et al. 2009,Heteroptera,Adelphocoris lineolatus,39.88,117.17,Temperate,"China, Chanzhou alfalfa fields",6,20,293,3.140,Calculated,82.89,Figure 3,0.028,Calculated,0.028,Calculated,0.36,Egg_to_Adult,Figure 2,36.1,Egg_to_Adult,Table 1,62.5,Egg_to_Senescence,Calculated,0.038,Calculated,26.4,Adult,Table 3,41.00,Calculated,0.0594,Calculated,0.067,r using Mathematica
Lu et al. 2009,Heteroptera,Adelphocoris lineolatus,39.88,117.17,Temperate,"China, Chanzhou alfalfa fields",6,25,298,4.025,Calculated,102.63,Figure 3,0.036,Calculated,0.023,Calculated,0.53,Egg_to_Adult,Figure 2,27.6,Egg_to_Adult,Table 1,53.1,Egg_to_Senescence,Calculated,0.039,Calculated,25.5,Adult,Table 3,62.78,Calculated,0.0780,Calculated,0.099,r using Mathematica
Lu et al. 2009,Heteroptera,Adelphocoris lineolatus,39.88,117.17,Temperate,"China, Chanzhou alfalfa fields",6,30,303,4.612,Calculated,93.16,Figure 3,0.047,Calculated,0.039,Calculated,0.43,Egg_to_Adult,Figure 2,21.4,Egg_to_Adult,Table 1,41.6,Egg_to_Senescence,Calculated,0.050,Calculated,20.2,Adult,Table 3,50.52,Calculated,0.0943,Calculated,0.117,r using Mathematica
Lu et al. 2009,Heteroptera,Adelphocoris lineolatus,39.88,117.17,Temperate,"China, Chanzhou alfalfa fields",6,35,308,3.148,Calculated,48.16,Figure 3,0.046,Calculated,0.128,Calculated,0.06,Egg_to_Adult,Figure 2,21.9,Egg_to_Adult,Table 1,37.2,Egg_to_Senescence,Calculated,0.065,Calculated,15.3,Adult,Table 3,12.63,Calculated,0.0682,Calculated,0.032,r using Mathematica
Nishikawa et al. 2010,Heteroptera,Pilophorus typicus,33.62,133.67,Sub-tropical,"Japan, Monobe campus on B. tabaci on eggplant",6,17.5,291,0.217,Calculated,12.0,Table 2,0.014,Calculated,0.015,Calculated,0.34,Egg_to_Adult,Table 1,72.0,Egg_to_Adult,Table 1,101.9,Egg_to_Repro,Table 3,0.018,Calculated,55.2,Female,Table 2,1.8,Table 3,0.006,Table 3,,
Nishikawa et al. 2010,Heteroptera,Pilophorus typicus,33.62,133.67,Sub-tropical,"Japan, Monobe campus on B. tabaci on eggplant",6,20,293,0.519,Calculated,23.7,Table 2,0.022,Calculated,0.008,Calculated,0.68,Egg_to_Adult,Table 1,45.9,Egg_to_Adult,Table 1,67.4,Egg_to_Repro,Table 3,0.022,Calculated,45.7,Female,Table 2,6.5,Table 3,0.0283,Table 3,,
Nishikawa et al. 2010,Heteroptera,Pilophorus typicus,33.62,133.67,Sub-tropical,"Japan, Monobe campus on B. tabaci on eggplant",6,22.5,296,1.864,Calculated,87.4,Table 2,0.030,Calculated,0.007,Calculated,0.80,Egg_to_Adult,Table 1,33.5,Egg_to_Adult,Table 1,54.2,Egg_to_Repro,Table 3,0.021,Calculated,46.9,Female,Table 2,29.1,Table 3,0.0667,Table 3,,
Nishikawa et al. 2010,Heteroptera,Pilophorus typicus,33.62,133.67,Sub-tropical,"Japan, Monobe campus on B. tabaci on eggplant",6,25,298,2.484,Calculated,121.2,Table 2,0.035,Calculated,0.018,Calculated,0.60,Egg_to_Adult,Table 1,28.4,Egg_to_Adult,Table 1,50.1,Egg_to_Repro,Table 3,0.020,Calculated,48.8,Female,Table 2,30.0,Table 3,0.0747,Table 3,,
Nishikawa et al. 2010,Heteroptera,Pilophorus typicus,33.62,133.67,Sub-tropical,"Japan, Monobe campus on B. tabaci on eggplant",6,27.5,301,3.101,Calculated,91.8,Table 2,0.043,Calculated,0.044,Calculated,0.36,Egg_to_Adult,Table 1,23.1,Egg_to_Adult,Table 1,35.7,Egg_to_Repro,Table 3,0.034,Calculated,29.6,Female,Table 2,12.7,Table 3,0.0752,Table 3,,
Nishikawa et al. 2010,Heteroptera,Pilophorus typicus,33.62,133.67,Sub-tropical,"Japan, Monobe campus on B. tabaci on eggplant",6,30,303,2.800,Calculated,50.4,Table 2,0.048,Calculated,0.058,Calculated,0.30,Egg_to_Adult,Table 1,20.7,Egg_to_Adult,Table 1,30.2,Egg_to_Repro,Table 3,0.056,Calculated,18.0,Female,Table 2,5.3,Table 3,0.0566,Table 3,,
Ugine 2012,Heteroptera,Lygus lineolaris,33.42,-90.9,Sub-tropical,"USA, Stoneville, MS USDA Biological Control of Pests Research Unit",7,17,290,4.4,Table 4,111.3,Table 4,0.020,Calculated,0.009,Calculated,0.636,Egg_to_Adult,Table 3,49.4,Egg_to_Adult,Table 1,61.5,Egg_to_Repro,Table 5,0.025,Calculated,39.4,Female,Table 4,35.7,Table 5,0.0581,Table 5,,
Ugine 2012,Heteroptera,Lygus lineolaris,33.42,-90.9,Sub-tropical,"USA, Stoneville, MS USDA Biological Control of Pests Research Unit",7,18,291,3.7,Table 4,73.6,Table 4,0.024,Calculated,0.008,Calculated,0.727,Egg_to_Adult,Table 3,41.8,Egg_to_Adult,Table 1,49.2,Egg_to_Repro,Table 5,0.029,Calculated,34.7,Female,Table 4,27.5,Table 5,0.0673,Table 5,,
Ugine 2012,Heteroptera,Lygus lineolaris,33.42,-90.9,Sub-tropical,"USA, Stoneville, MS USDA Biological Control of Pests Research Unit",7,21,294,5.0,Table 4,72.8,Table 4,,,,,,,,,,,36.2,Egg_to_Repro,Table 5,0.041,Calculated,24.5,Female,Table 4,30.4,Table 5,0.0942,Table 5,,
