Reference,Population,Location,Lat,Long,Habitat,Subfamily,T_C,T_K,Birth_Rate,Birth_Source,Dev_Rate,Dev_Source,Juv_Mortality,Jmort_Source,Survival,Surv_Source,Adult_Mortality,Amort_Source,Adult_Longevity,Long_Source,R0,R0_Source,r_m,r_m_Source
De Conti et al. 2010,Macrosiphum euphorbiae Brazil,Brazil,-21.23,-44.98,Tropical,Sternorrhyncha,25,298,1.666,Calculated,0.316,Calculated,0.099,Calculated,0.73,Figure 6,0.076,Calculated,13.13,Figure 2,15.83,Table 1,0.186,Table 1
De Conti et al. 2010,Macrosiphum euphorbiae Brazil,Brazil,-21.23,-44.98,Tropical,Sternorrhyncha,28,301,1.669,Calculated,0.26,Calculated,,,,,0.116,Calculated,8.61,Figure 2,14.37,Calculated,0.159,Calculated
De Conti et al. 2010,Aulacorthum solani Brazil,Brazil,-21.23,-44.98,Tropical,Sternorrhyncha,16,289,3.404,Calculated,0.312,Calculated,0.07,Calculated,0.8,Figure 5,0.053,Calculated,19.01,Figure 2,53.45,Table 1,0.179,Table 1
De Conti et al. 2010,Aulacorthum solani Brazil,Brazil,-21.23,-44.98,Tropical,Sternorrhyncha,19,292,3.984,Calculated,0.478,Calculated,0.078,Calculated,0.85,Figure 5,0.053,Calculated,18.83,Figure 2,61.96,Table 1,0.232,Table 1
De Conti et al. 2010,Aulacorthum solani Brazil,Brazil,-21.23,-44.98,Tropical,Sternorrhyncha,22,295,3.695,Calculated,0.552,Calculated,0.058,Calculated,0.9,Figure 5,0.056,Calculated,18.01,Figure 2,62.93,Table 1,0.27,Table 1
De Conti et al. 2010,Aulacorthum solani Brazil,Brazil,-21.23,-44.98,Tropical,Sternorrhyncha,25,298,1.653,Calculated,0.384,Calculated,0.23,Calculated,0.55,Figure 5,0.091,Calculated,10.96,Figure 2,23.42,Table 1,0.185,Table 1
De Conti et al. 2010,Aulacorthum solani Brazil,Brazil,-21.23,-44.98,Tropical,Sternorrhyncha,28,301,1.132,Calculated,0.216,Calculated,,,,,0.604,Calculated,1.66,Figure 2,1.88,Calculated,0.068,Calculated
De Conti et al. 2010,Uroleucon ambrosiae Brazil,Brazil,-21.23,-44.98,Tropical,Sternorrhyncha,16,289,2.727,Calculated,0.309,Calculated,0.05,Calculated,0.85,Figure 7,0.047,Calculated,21.08,Figure 2,44.2,Table 1,0.17,Table 1
De Conti et al. 2010,Uroleucon ambrosiae Brazil,Brazil,-21.23,-44.98,Tropical,Sternorrhyncha,19,292,4.526,Calculated,0.548,Calculated,0.028,Calculated,0.95,Figure 7,0.099,Calculated,10.15,Figure 2,37.5,Table 1,0.231,Table 1
De Conti et al. 2010,Uroleucon ambrosiae Brazil,Brazil,-21.23,-44.98,Tropical,Sternorrhyncha,22,295,4.617,Calculated,0.5,Calculated,0.124,Calculated,0.78,Figure 7,0.089,Calculated,11.23,Figure 2,42.66,Table 1,0.244,Table 1
De Conti et al. 2010,Uroleucon ambrosiae Brazil,Brazil,-21.23,-44.98,Tropical,Sternorrhyncha,25,298,4.086,Calculated,0.276,Calculated,0.132,Calculated,0.62,Figure 7,0.128,Calculated,7.8,Figure 2,14.62,Table 1,0.205,Table 1
De Conti et al. 2010,Uroleucon ambrosiae Brazil,Brazil,-21.23,-44.98,Tropical,Sternorrhyncha,28,301,1.758,Calculated,0.174,Calculated,,,,,0.281,Calculated,3.55,Figure 2,6.25,Calculated,0.068,Calculated
Morgan et al. 2001,Acyrthosiphon pisum UK Sand Hutton,UK Sand Hutton,54.02,-0.97,Temperate,Sternorrhyncha,11.9,285.1,2.6,Table 3,0.06,Calculated,0.035,Calculated,0.55,Table 2,0.132,Calculated,7.6,Table 3,19.5,Table 4,0.149,Table 4
Morgan et al. 2001,Acyrthosiphon pisum UK Sand Hutton,UK Sand Hutton,54.02,-0.97,Temperate,Sternorrhyncha,16.6,289.8,3.7,Table 3,0.087,Calculated,0.076,Calculated,0.42,Table 2,0.07,Calculated,14.3,Table 3,49,Table 4,0.21,Table 4
Morgan et al. 2001,Acyrthosiphon pisum UK Sand Hutton,UK Sand Hutton,54.02,-0.97,Temperate,Sternorrhyncha,19.6,292.8,4.6,Table 3,0.101,Calculated,0.04,Calculated,0.67,Table 2,0.101,Calculated,9.9,Table 3,46.1,Table 4,0.284,Table 4
Morgan et al. 2001,Acyrthosiphon pisum UK Sand Hutton,UK Sand Hutton,54.02,-0.97,Temperate,Sternorrhyncha,23.1,296.3,2,Table 3,0.116,Calculated,0.097,Calculated,0.44,Table 2,0.156,Calculated,6.4,Table 3,13.5,Table 4,0.281,Table 4
Morgan et al. 2001,Acyrthosiphon pisum UK Sand Hutton,UK Sand Hutton,54.02,-0.97,Temperate,Sternorrhyncha,26.7,299.9,3.1,Table 3,0.118,Calculated,0.278,Calculated,0.09,Table 2,0.333,Calculated,3,Table 3,9.7,Table 4,0.252,Table 4
Tsai & Liu 1998,Rhopalosiphum rufiabdominalis US Naples,US Naples,26.14,-81.79,Sub-tropical,Sternorrhyncha,10,283,1.66,Calculated,0.048,Calculated,0.01,Calculated,0.81,Table 3,0.034,Calculated,29.73,Table 4,40.9,Table 5,0.115,Table 5
Tsai & Liu 1998,Rhopalosiphum rufiabdominalis US Naples,US Naples,26.14,-81.79,Sub-tropical,Sternorrhyncha,15,288,2.23,Calculated,0.088,Calculated,0.015,Calculated,0.85,Table 3,0.041,Calculated,24.43,Table 4,45.7,Table 5,0.2,Table 5
Tsai & Liu 1998,Rhopalosiphum rufiabdominalis US Naples,US Naples,26.14,-81.79,Sub-tropical,Sternorrhyncha,20,293,3.44,Calculated,0.156,Calculated,0.016,Calculated,0.9,Table 3,0.054,Calculated,18.41,Table 4,57.23,Table 5,0.357,Table 5
Tsai & Liu 1998,Rhopalosiphum rufiabdominalis US Naples,US Naples,26.14,-81.79,Sub-tropical,Sternorrhyncha,25,298,4.31,Calculated,0.208,Calculated,0.066,Calculated,0.73,Table 3,0.076,Calculated,13.1,Table 4,42.58,Table 5,0.432,Table 5
Tsai & Liu 1998,Rhopalosiphum rufiabdominalis US Naples,US Naples,26.14,-81.79,Sub-tropical,Sternorrhyncha,30,303,3.38,Calculated,0.227,Calculated,0.146,Calculated,0.53,Table 3,0.106,Calculated,9.42,Table 4,17.5,Table 5,0.364,Table 5
Tsai & Liu 1998,Rhopalosiphum rufiabdominalis US Naples,US Naples,26.14,-81.79,Sub-tropical,Sternorrhyncha,35,308,0,Calculated,0,Calculated,,,0,Table 3,,,,,0,Calculated,,
Wang et al. 1997,Aphis nasturtii US Weston,US Weston,26.14,-80.45,Sub-tropical,Sternorrhyncha,10,283,0.21,Calculated,0.029,Calculated,0.056,Calculated,0.15,Table 2,0.076,Calculated,13.1,Table 3,0.42,Table 4,-0.022,Table 4
Wang et al. 1997,Aphis nasturtii US Weston,US Weston,26.14,-80.45,Sub-tropical,Sternorrhyncha,15,288,1.82,Calculated,0.062,Calculated,0.008,Calculated,0.88,Table 2,0.033,Calculated,30.2,Table 3,48.1,Table 4,0.154,Table 4
Wang et al. 1997,Aphis nasturtii US Weston,US Weston,26.14,-80.45,Sub-tropical,Sternorrhyncha,20,293,1.81,Calculated,0.1,Calculated,0.039,Calculated,0.68,Table 2,0.038,Calculated,26.3,Table 3,32.12,Table 4,0.195,Table 4
Wang et al. 1997,Aphis nasturtii US Weston,US Weston,26.14,-80.45,Sub-tropical,Sternorrhyncha,25,298,2.82,Calculated,0.128,Calculated,0.065,Calculated,0.6,Table 2,0.06,Calculated,16.6,Table 3,28.09,Table 4,0.263,Table 4
Wang et al. 1997,Aphis nasturtii US Weston,US Weston,26.14,-80.45,Sub-tropical,Sternorrhyncha,27,300,3.14,Calculated,0.167,Calculated,0.054,Calculated,0.73,Table 2,0.068,Calculated,14.6,Table 3,33.23,Table 4,0.332,Table 4
Wang et al. 1997,Aphis nasturtii US Weston,US Weston,26.14,-80.45,Sub-tropical,Sternorrhyncha,30,303,2.13,Calculated,0.175,Calculated,0.069,Calculated,0.68,Table 2,0.119,Calculated,8.4,Table 3,12.07,Table 4,0.27,Table 4
Wang et al. 1997,Aphis nasturtii US Weston,US Weston,26.14,-80.45,Sub-tropical,Sternorrhyncha,35,308,0.79,Calculated,0.152,Calculated,0.149,Calculated,0.38,Table 2,0.143,Calculated,7,Table 3,1.03,Table 4,-0.014,Table 4
Barlow 1962,Macrosiphum euphorbiae Canada Chatham,Canada Chatham,42.81,-82.23,Temperate,Sternorrhyncha,5,278,0.34,Calculated,0.024,Calculated,0.003,Calculated,0.87,Table 1,0.01,Calculated,101.5,"Figures 3,4",29.84,Table 1,0.37,Table 1
Barlow 1962,Macrosiphum euphorbiae Canada Chatham,Canada Chatham,42.81,-82.23,Temperate,Sternorrhyncha,10,283,0.62,Calculated,0.062,Calculated,0.006,Calculated,0.91,Table 1,0.014,Calculated,70,"Figures 3,4",40.62,Table 1,0.76,Table 1
Barlow 1962,Macrosiphum euphorbiae Canada Chatham,Canada Chatham,42.81,-82.23,Temperate,Sternorrhyncha,15,288,0.64,Calculated,0.071,Calculated,0.004,Calculated,0.95,Table 1,0.019,Calculated,52.5,"Figures 3,4",33.93,Table 1,1.22,Table 1
Barlow 1962,Macrosiphum euphorbiae Canada Chatham,Canada Chatham,42.81,-82.23,Temperate,Sternorrhyncha,20,293,0.98,Calculated,0.11,Calculated,0.041,Calculated,0.69,Table 1,0.029,Calculated,35,"Figures 3,4",24.43,Table 1,1.53,Table 1
Barlow 1962,Macrosiphum euphorbiae Canada Chatham,Canada Chatham,42.81,-82.23,Temperate,Sternorrhyncha,25,298,0.75,Calculated,0.13,Calculated,0.093,Calculated,0.49,Table 1,0.071,Calculated,14,"Figures 3,4",5.47,Table 1,1.13,Table 1
Barlow 1962,Macrosiphum euphorbiae Canada Chatham,Canada Chatham,42.81,-82.23,Temperate,Sternorrhyncha,30,303,0,Calculated,0,Calculated,0.248,Calculated,0,Table 1,,,,,0,Table 1,0,Calculated
Barlow 1962,Myzus persicae Canada Chatham,Canada Chatham,42.81,-82.23,Temperate,Sternorrhyncha,5,278,0.36,Calculated,0.032,Calculated,0.005,Calculated,0.86,Table 1,0.012,Calculated,80.5,"Figures 1,2",25.35,Table 1,0.47,Table 1
Barlow 1962,Myzus persicae Canada Chatham,Canada Chatham,42.81,-82.23,Temperate,Sternorrhyncha,10,283,0.48,Calculated,0.06,Calculated,0.005,Calculated,0.92,Table 1,0.013,Calculated,77,"Figures 1,2",33.87,Table 1,0.84,Table 1
Barlow 1962,Myzus persicae Canada Chatham,Canada Chatham,42.81,-82.23,Temperate,Sternorrhyncha,15,288,1.71,Calculated,0.159,Calculated,0.003,Calculated,0.98,Table 1,0.022,Calculated,45.5,"Figures 1,2",78.26,Table 1,2.38,Table 1
Barlow 1962,Myzus persicae Canada Chatham,Canada Chatham,42.81,-82.23,Temperate,Sternorrhyncha,20,293,1.81,Calculated,0.204,Calculated,0,Calculated,1,Table 1,0.026,Calculated,38.5,"Figures 1,2",69.75,Table 1,3.13,Table 1
Barlow 1962,Myzus persicae Canada Chatham,Canada Chatham,42.81,-82.23,Temperate,Sternorrhyncha,25,298,0.81,Calculated,0.238,Calculated,0.065,Calculated,0.76,Table 1,0.041,Calculated,24.5,"Figures 1,2",15.13,Table 1,3.15,Table 1
Barlow 1962,Myzus persicae Canada Chatham,Canada Chatham,42.81,-82.23,Temperate,Sternorrhyncha,30,303,0,Calculated,0,Calculated,0.33,Calculated,0,Table 1,,,,,0,Table 1,0,Calculated
Asante et al 1991,Eriosoma lanigerum Australia Yathroo,Australia Yathroo,-30.9,115.78,Sub-tropical,Sternorrhyncha,10,283,0.64,Calculated,0.017,Calculated,0.003,Calculated,0.85,Table 1,0.021,Calculated,47.58,Table 4,28.6,Table 5,0.0397,Table 5
Asante et al 1991,Eriosoma lanigerum Australia Yathroo,Australia Yathroo,-30.9,115.78,Sub-tropical,Sternorrhyncha,13,286,2.11,Calculated,0.028,Calculated,0.001,Calculated,0.95,Table 1,0.019,Calculated,51.74,Table 4,99.8,Table 5,0.0833,Table 5
Asante et al 1991,Eriosoma lanigerum Australia Yathroo,Australia Yathroo,-30.9,115.78,Sub-tropical,Sternorrhyncha,15,288,2.84,Calculated,0.038,Calculated,0.002,Calculated,0.95,Table 1,0.025,Calculated,39.4,Table 4,100.5,Table 5,0.1135,Table 5
Asante et al 1991,Eriosoma lanigerum Australia Yathroo,Australia Yathroo,-30.9,115.78,Sub-tropical,Sternorrhyncha,20,293,4.66,Calculated,0.059,Calculated,0.009,Calculated,0.86,Table 1,0.044,Calculated,22.88,Table 4,89.78,Table 5,0.1726,Table 5
Asante et al 1991,Eriosoma lanigerum Australia Yathroo,Australia Yathroo,-30.9,115.78,Sub-tropical,Sternorrhyncha,25,298,4.01,Calculated,0.072,Calculated,0.02,Calculated,0.75,Table 1,0.052,Calculated,19.28,Table 4,58.3,Table 5,0.1828,Table 5
Asante et al 1991,Eriosoma lanigerum Australia Yathroo,Australia Yathroo,-30.9,115.78,Sub-tropical,Sternorrhyncha,30,303,1.85,Calculated,0.086,Calculated,0.041,Calculated,0.62,Table 1,0.1,Calculated,10.04,Table 4,12.62,Table 5,0.1546,Table 5
Asante et al 1991,Eriosoma lanigerum Australia Yathroo,Australia Yathroo,-30.9,115.78,Sub-tropical,Sternorrhyncha,32,305,0,In text,0.059,Calculated,0.138,Calculated,0.1,Table 1,,,,,0,In text,0,Calculated
Xia et al. 1999,Aphis gossypii China Henan,China Henan,36.07,114.22,Temperate,Sternorrhyncha,10,283,0.21,Calculated,0.043,Calculated,0.069,Calculated,0.2,Table 1,0.034,Calculated,29,Table 1,2.6,Table 3,0.033,Table 3
Xia et al. 1999,Aphis gossypii China Henan,China Henan,36.07,114.22,Temperate,Sternorrhyncha,15,288,0.843,Calculated,0.077,Calculated,0.068,Calculated,0.41,Table 1,0.039,Calculated,25.4,Table 1,13.8,Table 3,0.142,Table 3
